Amount Nan Values,Feature,Percentage Nan Values
7.0,Loan_Amount,4.2684488456894764e-05
7.0,Term,4.2684488456894764e-05
7.0,Interest_Rate,4.2684488456894764e-05
5811.0,Employment_Years,0.03543422320328792
7.0,Home_Ownership,4.2684488456894764e-05
11.0,Annual_Income,6.707562471797748e-05
7.0,Verification_Status,4.2684488456894764e-05
7.0,Loan_Purpose,4.2684488456894764e-05
7.0,State,4.2684488456894764e-05
7.0,Debt_to_Income,4.2684488456894764e-05
36.0,Delinquent_2yr,0.00021952022634974452
200.0,Revolving_Cr_Util,0.001219556813054136
36.0,Total_Accounts,0.00021952022634974452
36.0,Longest_Credit_Length,0.00021952022634974452
