Amount Nan Values,Feature,Percentage Nan Values
6.0,Loan_Amount,4.574112050498197e-05
6.0,Term,4.574112050498197e-05
6.0,Interest_Rate,4.574112050498197e-05
4696.0,Employment_Years,0.035800050315232555
6.0,Home_Ownership,4.574112050498197e-05
6.0,Annual_Income,4.574112050498197e-05
6.0,Verification_Status,4.574112050498197e-05
6.0,Loan_Purpose,4.574112050498197e-05
6.0,State,4.574112050498197e-05
6.0,Debt_to_Income,4.574112050498197e-05
26.0,Delinquent_2yr,0.0001982115221882552
158.0,Revolving_Cr_Util,0.0012045161732978586
26.0,Total_Accounts,0.0001982115221882552
26.0,Longest_Credit_Length,0.0001982115221882552
